Iteration,Entity,Random-weight score,Rank,Top-ranked entities,Sole top-ranked APEX1,weight_genetic,weight_coloc_expr,weight_protein,weight_inflammatory,weight_regulatory,weight_penalty
1,APEX1,8.2302,1,APEX1,True,0.8779,0.9167,0.8504,1.1457,1.0893,0.9279
1,TNFRSF10C,5.3837,2,APEX1,False,0.8779,0.9167,0.8504,1.1457,1.0893,0.9279
1,ARID5B,5.3837,2,APEX1,False,0.8779,0.9167,0.8504,1.1457,1.0893,0.9279
1,DHFR,4.9254,4,APEX1,False,0.8779,0.9167,0.8504,1.1457,1.0893,0.9279
1,BACE1,4.9254,4,APEX1,False,0.8779,0.9167,0.8504,1.1457,1.0893,0.9279
1,SEC23B,4.9254,4,APEX1,False,0.8779,0.9167,0.8504,1.1457,1.0893,0.9279
1,PADI4,4.467,7,APEX1,False,0.8779,0.9167,0.8504,1.1457,1.0893,0.9279
1,HADHB,4.467,7,APEX1,False,0.8779,0.9167,0.8504,1.1457,1.0893,0.9279
1,RFC4,4.467,7,APEX1,False,0.8779,0.9167,0.8504,1.1457,1.0893,0.9279
1,SF3B3,4.467,7,APEX1,False,0.8779,0.9167,0.8504,1.1457,1.0893,0.9279
1,PERP,4.0031,11,APEX1,False,0.8779,0.9167,0.8504,1.1457,1.0893,0.9279
1,PRDX2,2.1172,12,APEX1,False,0.8779,0.9167,0.8504,1.1457,1.0893,0.9279
1,KDM1A,1.0893,13,APEX1,False,0.8779,0.9167,0.8504,1.1457,1.0893,0.9279
2,APEX1,9.1643,1,APEX1,True,1.1057,0.8782,1.1286,0.9552,0.9699,1.0009
2,TNFRSF10C,5.9519,2,APEX1,False,1.1057,0.8782,1.1286,0.9552,0.9699,1.0009
2,ARID5B,5.9519,2,APEX1,False,1.1057,0.8782,1.1286,0.9552,0.9699,1.0009
2,DHFR,5.5128,4,APEX1,False,1.1057,0.8782,1.1286,0.9552,0.9699,1.0009
2,BACE1,5.5128,4,APEX1,False,1.1057,0.8782,1.1286,0.9552,0.9699,1.0009
2,SEC23B,5.5128,4,APEX1,False,1.1057,0.8782,1.1286,0.9552,0.9699,1.0009
2,PADI4,5.0736,7,APEX1,False,1.1057,0.8782,1.1286,0.9552,0.9699,1.0009
2,HADHB,5.0736,7,APEX1,False,1.1057,0.8782,1.1286,0.9552,0.9699,1.0009
2,RFC4,5.0736,7,APEX1,False,1.1057,0.8782,1.1286,0.9552,0.9699,1.0009
2,SF3B3,5.0736,7,APEX1,False,1.1057,0.8782,1.1286,0.9552,0.9699,1.0009
2,PERP,4.5732,11,APEX1,False,1.1057,0.8782,1.1286,0.9552,0.9699,1.0009
2,PRDX2,2.8921,12,APEX1,False,1.1057,0.8782,1.1286,0.9552,0.9699,1.0009
2,KDM1A,0.9699,13,APEX1,False,1.1057,0.8782,1.1286,0.9552,0.9699,1.0009
3,APEX1,8.9871,1,APEX1,True,0.8141,1.2262,1.0394,0.7873,1.0919,1.0088
3,TNFRSF10C,6.121,2,APEX1,False,0.8141,1.2262,1.0394,0.7873,1.0919,1.0088
3,ARID5B,6.121,2,APEX1,False,0.8141,1.2262,1.0394,0.7873,1.0919,1.0088
3,DHFR,5.5079,4,APEX1,False,0.8141,1.2262,1.0394,0.7873,1.0919,1.0088
3,BACE1,5.5079,4,APEX1,False,0.8141,1.2262,1.0394,0.7873,1.0919,1.0088
3,SEC23B,5.5079,4,APEX1,False,0.8141,1.2262,1.0394,0.7873,1.0919,1.0088
3,PADI4,4.8948,7,APEX1,False,0.8141,1.2262,1.0394,0.7873,1.0919,1.0088
3,HADHB,4.8948,7,APEX1,False,0.8141,1.2262,1.0394,0.7873,1.0919,1.0088
3,RFC4,4.8948,7,APEX1,False,0.8141,1.2262,1.0394,0.7873,1.0919,1.0088
3,SF3B3,4.8948,7,APEX1,False,0.8141,1.2262,1.0394,0.7873,1.0919,1.0088
3,PERP,4.3904,11,APEX1,False,0.8141,1.2262,1.0394,0.7873,1.0919,1.0088
3,PRDX2,2.0658,12,APEX1,False,0.8141,1.2262,1.0394,0.7873,1.0919,1.0088
