Entity,iterations,median_rank,best_rank,worst_rank,rank_1_frequency,sole_APEX1_top_frequency,median_score
APEX1,1000,1.0,1,1,100.0,100.0,9.032
ARID5B,1000,2.0,2,2,0.0,0.0,6.032
BACE1,1000,4.0,4,4,0.0,0.0,5.522
DHFR,1000,4.0,4,4,0.0,0.0,5.522
HADHB,1000,7.0,7,7,0.0,0.0,5.03
KDM1A,1000,13.0,13,13,0.0,0.0,0.997
PADI4,1000,7.0,7,7,0.0,0.0,5.03
PERP,1000,11.0,11,11,0.0,0.0,4.519
PRDX2,1000,12.0,12,12,0.0,0.0,2.514
RFC4,1000,7.0,7,7,0.0,0.0,5.03
SEC23B,1000,4.0,4,4,0.0,0.0,5.522
SF3B3,1000,7.0,7,7,0.0,0.0,5.03
TNFRSF10C,1000,2.0,2,2,0.0,0.0,6.032
