Top-ranked entity,APEX1 score,APEX1 rank,APEX1 tier,PRDX2 score,PRDX2 rank,PRDX2 tier,KDM1A score,KDM1A rank,KDM1A tier,Analysis block,Scenario,Weighting/removed domain,Interpretation
APEX1,9.0,1,Tier 1,2.5,12,Exploratory,1.0,13,Exploratory regulator,Ablation,Full TMPS,none,APEX1 remained top-ranked
APEX1,7.0,1,Tier 1,1.5,12,Exploratory,1.0,13,Exploratory regulator,Ablation,No protein-level evidence,protein,APEX1 remained top-ranked
APEX1,6.0,1,Tier 1,2.5,11,Exploratory,1.0,13,Exploratory regulator,Ablation,No SMR/expression-context evidence,coloc_expr,APEX1 remained top-ranked
APEX1,8.0,1,Tier 1,2.5,12,Exploratory,1.0,13,Exploratory regulator,Ablation,No inflammatory/redox context,inflammatory,APEX1 remained top-ranked
APEX1,9.0,1,Tier 1,2.5,12,Exploratory,0.0,13,Exploratory regulator,Ablation,No regulatory-context evidence,regulatory,APEX1 remained top-ranked
APEX1,9.0,1,Tier 1,3.5,12,Exploratory,1.0,13,Exploratory regulator,Ablation,No traceability penalty,penalty,APEX1 remained top-ranked
APEX1,9.0,1,Tier 1,2.5,12,Exploratory,1.0,13,Exploratory regulator,Parameter robustness,Primary weights,genetic=1.0; coloc_expr=1.0; protein=1.0; inflammatory=1.0; regulatory=1.0; penalty=1.0,APEX1 remained top-ranked; PRDX2 remained exploratory
APEX1,8.75,1,Tier 1,2.975,12,Exploratory,0.75,13,Exploratory regulator,Parameter robustness,Genetic-heavy weights,genetic=1.25; coloc_expr=0.85; protein=0.85; inflammatory=0.75; regulatory=0.75; penalty=1.0,APEX1 remained top-ranked; PRDX2 remained exploratory
APEX1,8.75,1,Tier 1,1.975,12,Exploratory,0.75,13,Exploratory regulator,Parameter robustness,Colocalization/expression-heavy weights,genetic=0.85; coloc_expr=1.25; protein=0.85; inflammatory=0.75; regulatory=0.75; penalty=1.0,APEX1 remained top-ranked; PRDX2 remained exploratory
APEX1,9.15,1,Tier 1,2.75,12,Exploratory,0.75,13,Exploratory regulator,Parameter robustness,Protein-heavy weights,genetic=0.9; coloc_expr=0.9; protein=1.5; inflammatory=0.75; regulatory=0.75; penalty=1.0,APEX1 remained top-ranked; PRDX2 remained exploratory
APEX1,9.0,1,Tier 1,2.0,12,Exploratory,1.0,13,Exploratory regulator,Parameter robustness,Penalty-heavy weights,genetic=1.0; coloc_expr=1.0; protein=1.0; inflammatory=1.0; regulatory=1.0; penalty=1.5,APEX1 remained top-ranked; PRDX2 remained exploratory
APEX1,4.0,1,Tier 2,0.333,13,Exploratory,1.0,12,Exploratory regulator,Parameter robustness,Equal-normalized domains,genetic=0.333; coloc_expr=0.333; protein=0.5; inflammatory=1.0; regulatory=1.0; penalty=1.0,APEX1 remained top-ranked; PRDX2 remained exploratory
