Entity,Entity role,Primary MR source,nSNP,min F-statistic,mean F-statistic,MR P value,MR adjusted P value,heterogeneity P value,pleiotropy P value,Steiger directionality,SMR P value,HEIDI P value,SMR/HEIDI status,Expression context,Genetic association support (0-3),Colocalization/transcriptomic support (0-3),Protein-level support (0-2),Inflammatory/oxidative-stress context (0-1),Regulatory-context support (0-1),Penalty,TMPS total score,Evidence tier,Sensitivity flag,Traceability flag,Penalty or boundary note
APEX1,candidate gene/protein,pQTL,25.0,32.984,267.132,2.95e-06,0.00617,0.96,0.76,TRUE,0.003,0.621,pass,concordant or disease-relevant direction,3.0,3.0,2,1,0,0.0,9.0,Tier 1,complete/acceptable,complete,
ARID5B,candidate gene/protein,eQTL,26.0,29.884,141.534,1.32e-06,0.00121,0.89,0.28,TRUE,0.001,0.95,pass,concordant or disease-relevant direction,3.0,3.0,0,0,0,0.0,6.0,Tier 2,complete/acceptable,complete,
TNFRSF10C,candidate gene/protein,eQTL,13.0,30.674,162.029,0.000114,0.0342,0.95,0.89,TRUE,0.032,0.823,pass,concordant or disease-relevant direction,3.0,3.0,0,0,0,0.0,6.0,Tier 2,complete/acceptable,complete,
BACE1,candidate gene/protein,eQTL,15.0,31.908,147.905,1.48e-05,0.0106,0.75,0.91,TRUE,0.003,0.78,pass,concordant or disease-relevant direction,3.0,2.5,0,0,0,0.0,5.5,Tier 2,complete/acceptable,complete,
DHFR,candidate gene/protein,eQTL,49.0,31.398,164.011,6.98e-09,2.93e-05,0.23,0.51,TRUE,0.009,0.152,pass,concordant or disease-relevant direction,3.0,2.5,0,0,0,0.0,5.5,Tier 2,complete/acceptable,complete,
SEC23B,candidate gene/protein,eQTL,25.0,32.804,210.322,3.88e-07,0.000523,0.25,0.06,TRUE,0.017,0.248,pass,concordant or disease-relevant direction,3.0,2.5,0,0,0,0.0,5.5,Tier 2,complete/acceptable,complete,
HADHB,candidate gene/protein,eQTL,5.0,41.537,118.888,0.000245,0.0496,0.63,0.4,TRUE,0.04,0.424,pass,not assessed,3.0,2.0,0,0,0,0.0,5.0,Tier 2,complete/acceptable,complete,
PADI4,candidate gene/protein,eQTL,30.0,30.819,174.775,2.2e-05,0.0118,0.97,0.32,TRUE,0.015,0.418,pass,not assessed,3.0,2.0,0,0,0,0.0,5.0,Tier 2,complete/acceptable,complete,
RFC4,candidate gene/protein,eQTL,18.0,33.427,210.268,6.24e-05,0.0219,0.92,0.76,TRUE,0.007,0.483,pass,not assessed,3.0,2.0,0,0,0,0.0,5.0,Tier 2,complete/acceptable,complete,
SF3B3,candidate gene/protein,eQTL,12.0,33.39,100.742,0.000211,0.0474,0.45,0.08,TRUE,0.01,0.245,pass,not assessed,3.0,2.0,0,0,0,0.0,5.0,Tier 2,complete/acceptable,complete,
PERP,candidate gene/protein,eQTL,4.0,48.044,75.391,7.91e-07,0.000914,0.55,0.89,TRUE,0.01,0.437,pass,not assessed,3.0,2.0,0,0,0,0.5,4.5,Tier 2,complete/acceptable,complete,Earlier unsupported mediation traces excluded from formal mediation evidence
PRDX2,candidate gene/protein,pQTL,7.0,,,1.3e-07,0.000273,0.87,0.4,TRUE,,,not available/context-only,not assessed,2.5,0.0,1,0,0,1.0,2.5,Exploratory,incomplete or caution,incomplete or context-only,Incomplete pQTL sensitivity/HEIDI traceability; not interpreted as robust support
KDM1A,upstream regulator,none,,,,,,,,not available,,,not available/context-only,not assessed,0.0,0.0,0,0,1,0.0,1.0,Exploratory regulator,incomplete or caution,incomplete or context-only,Regulatory context only; not a genetically prioritized GCA gene
